id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Neha;Armstrong;Tina_Harber@hotmail.com;Wisconsin Facilitator Incredible;2019-06-04T04:04:16;38509;19091
2;Rowland;Gleichner;Jazmyne_Dach@gmail.com;Configuration UIC-Franc;2019-06-03T21:43:35;7041;9717
3;Corene;Morar;Yessenia25@hotmail.com;system-worthy portal;2019-06-03T15:02:23;69701;13662
4;Maymie;Quitzon;Kattie80@yahoo.com;open-source HDD;2019-06-03T13:29:25;8159;51134
5;Abigayle;Kutch;Pierre.Dietrich@yahoo.com;extend Unbranded Fresh Pants Tools;2019-06-03T21:30:54;9398;43847
6;Koby;Osinski;Erling54@gmail.com;stable Utah Computers;2019-06-04T10:30:41;3883;82260
7;Ellen;Herzog;Brandy_Hane@yahoo.com;composite Orchestrator Club;2019-06-03T15:11:58;5168;19438
8;Juston;Jast;Maximo72@yahoo.com;Strategist;2019-06-03T23:01:00;71459;32295
9;Allan;Schimmel;Donato_Kemmer@yahoo.com;Ameliorated;2019-06-04T06:59:01;96264;8087
10;Rocio;Keebler;Martina17@hotmail.com;Table Enterprise-wide Benin;2019-06-03T18:15:27;18286;66019
